# Inna proteins
library,name
Inna,p1-14H-GBL-16H-GBL-16H_0004_0001
Inna,p1-15H-GABBL-14H-GBL-16H_0575_0001
Inna,p1-16H-GBBL-14H-GBL-16H_0167_0001_0001
Inna,p1-14H-GABBL-16H-GABBL-16H_0284_0001_0001
Inna,p1-16H-GBL-16H-GABBL-16H_0037_0001
Inna,p1-16H-GBL-16H-GABBL-16H_0390_0001
Inna,p1-15H-GABBL-14H-GBL-16H_0654_0001
Inna,p1-15H-GABBL-14H-GBL-16H_0663_0001
Inna,p1-14H-GBL-16H-GABBL-15H_0108_0001
Inna,p1-14H-GBL-16H-GABBL-15H_0440_0001
Inna,p1-15H-GABBL-14H-GBL-16H_0683_0001
Inna,p1-14H-GBL-16H-GABBL-15H_0104_0001
Inna,p1-14H-GBL-16H-GABBL-16H_0443_0001
Inna,p1-14H-GBBL-15H-GBL-14H_0180_0001_0001
Inna,p1-15H-GABBL-15H-GBL-14H_0919_0001_0001
Inna,p1-15H-GABBL-14H-GBL-14H_0153_0001_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0929_0001_0001
Inna,p1-15H-GABBL-15H-GBL-15H_0708_0001_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0111_0001
Inna,p1-14H-GABBL-16H-GBL-14H_0895_0001_0001
Inna,p1-15H-GABBL-16H-GABBL-16H_0456_0001_0001
Inna,p1-14H-GBL-16H-GBBL-16H_0288_0001_0001
Inna,p1-14H-GBL-14H-GABBL-16H_0827_0001
Inna,p1-15H-GABBL-14H-GABBL-16H_0563_0001_0001
Inna,p1-14H-GBL-14H-GABBL-15H_0833_0001
Inna,p1-14H-GBL-14H-GABBL-16H_0257_0001
Inna,p1-16H-GBL-16H-GABBL-15H_0055_0001
Inna,p1-15H-GABBL-14H-GBL-16H_0633_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0159_0001
Inna,p1-16H-GBL-16H-GABBL-16H_0007_0001
Inna,p1-16H-GBL-16H-GABBL-16H_0017_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0016_0001
Inna,p1-16H-GBL-16H-GABBL-16H_0045_0001
Inna,p1-16H-GBL-16H-GABBL-16H_0027_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0142_0001
Inna,p1-16H-GBL-16H-GABBL-15H_0061_0001
Inna,p1-16H-GBL-16H-GBBL-16H_0058_0001_0001
Inna,p1-16H-GBL-16H-GABBL-16H_0029_0001
Inna,p1-15H-GABBL-15H-GBL-16H_0181_0001_0001
Inna,p1-15H-GBL-16H-GABBL-16H_0384_0001
Inna,p1-15H-GBL-16H-GBL-14H_0702_0001
Inna,p1-15H-GBL-16H-GABBL-15H_0065_0001
Inna,p1-14H-GBL-15H-GBL-15H_0033_0001
Inna,p1-15H-GBL-16H-GBL-14H_0663_0001
Inna,p1-15H-GBL-16H-GBL-14H_0441_0001
Inna,p1-15H-GBL-16H-GBL-14H_0261_0001
Inna,p1-15H-GBL-16H-GABBL-16H_0021_0001
Inna,p1-15H-GBL-16H-GABBL-16H_0322_0001
Inna,p1-14H-GBL-14H-GBL-16H_0624_0001
Inna,p1-14H-GBL-14H-BBL-15H_0038_0001
Inna,p1-15H-GBL-16H-GABBL-15H_0360_0001
Inna,p1-15H-GBL-16H-GBL-14H_0661_0001
Inna,p1-15H-GBL-16H-GBL-15H_0698_0001
Inna,p1-15H-GABBL-15H-GBBL-16H_0090_0001
Inna,p1-14H-GBL-16H-GABBL-15H_0014_0001
Inna,p1-15H-GABBL-14H-BBL-14H_0660_0001_0001
Inna,p1-14H-GBL-14H-GBL-15H_0989_0001_0001
Inna,p1-14H-GBL-14H-GBL-14H_0560_0001
Inna,p1-14H-GBL-16H-GBL-14H_0826_0001
Inna,p1-14H-GBL-16H-GBL-14H_0061_0001
Inna,p1-14H-GBL-16H-GBL-15H_0105_0001
Inna,p1-14H-GBL-14H-GBL-16H_0604_0001
